name,year,rating,metacritic
Counter-Strike,2000,4.05,88.0
Deus Ex: Game of the Year Edition,2000,4.12,90.0
Jet Set Radio,2000,3.41,94.0
Hitman: Codename 47,2000,3.83,73.0
Thief II: The Metal Age,2000,4.12,87.0
Final Fantasy IX,2000,4.35,84.0
Diablo II,2000,4.39,88.0
Unreal Tournament: Game of the Year Edition,2000,4.32,92.0
Carmageddon TDR 2000,2000,3.28,48.0
Soulbringer,2000,2.53,70.0
The Legend of Zelda: Majora's Mask,2000,4.34,95.0
Perfect Dark,2000,3.97,97.0
Deus Ex,2000,4.36,90.0
Earth 2150 Trilogy,2000,2.65,78.0
Rune,2000,3.98,76.0
Crime Cities,2000,2.5,71.0
The Sims,2000,4.21,88.0
Spider-Man (2000),2000,4.29,87.0
Command & Conquer: Red Alert 2,2000,4.36,84.0
Banjo-Tooie,2000,4.04,90.0
Tony Hawk's Pro Skater 2,2000,4.35,91.0
Summoner,2000,3.19,78.0
Vampire: The Masquerade - Redemption,2000,3.91,74.0
Cossacks: European Wars,2000,4.22,74.0
American McGee's Alice,2000,4.39,85.0
Need for Speed: Porsche Unleashed,2000,4.25,78.0
Giants: Citizen Kabuto,2000,3.34,85.0
Spyro: Year of the Dragon,2000,4.39,91.0
MDK 2,2000,3.94,83.0
Paper Mario (2000),2000,4.39,93.0
Baldur's Gate II: Shadows of Amn,2000,4.28,95.0
Sacrifice,2000,4.07,89.0
Dark Cloud,2000,3.93,80.0
Dino Crisis 2,2000,4.22,86.0
The Operative: No One Lives Forever,2000,4.22,79.0
Resident Evil Code: Veronica,2000,4.21,94.0
Indiana Jones and the Infernal Machine,2000,3.78,75.0
Vagrant Story (2000),2000,4.29,92.0
Delta Force: Land Warrior,2000,3.46,74.0
Sea Dogs,2000,4.28,71.0
Driver 2,2000,4.08,62.0
Crash Bash,2000,4.03,68.0
Persona 2: Eternal Punishment,2000,4.3,83.0
Medal of Honor: Underground,2000,4.17,86.0
SimCity 3000 Unlimited,2000,3.85,77.0
Project I.G.I.: I’m Going In,2000,3.99,70.0
Ground Control Anthology,2000,3.57,86.0
Submarine Titans,2000,3.74,69.0
Icewind Dale,2000,4.15,87.0
Mario Party 3,2000,4.08,74.0
Jagged Alliance 2: Unfinished Business,2000,4.22,64.0
Skies of Arcadia,2000,4.22,93.0
Mario Tennis (2000),2000,4.01,91.0
Breath of Fire IV (2000),2000,4.31,83.0
Grandia II,2000,4.35,77.0
007: The World is not Enough,2000,3.69,81.0
Heavy Metal: F.A.K.K.2,2000,3.84,78.0
B-17 Flying Fortress: The Mighty 8th,2000,2.86,82.0
Metal Fatigue,2000,4.14,68.0
Bugs Bunny & Taz: Time Busters,2000,3.94,72.0
Tenchu 2: Birth of the Stealth Assassins,2000,4.37,77.0
Star Trek: Voyager - Elite Force,2000,3.76,69.0
Disney's Aladdin in Nasira's Revenge,2000,3.53,61.0
Shogun: Total War,2000,4.03,84.0
102 Dalmatians: Puppies to the Rescue,2000,3.98,66.0
The Sims: Livin' Large,2000,3.92,82.0
TimeSplitters,2000,3.56,81.0
The Mummy,2000,3.46,46.0
Call to Power II,2000,3.5,72.0
Rayman: Revolution,2000,3.93,90.0
Disney's The Emperor's New Groove,2000,3.94,66.0
Warlords Battlecry,2000,3.67,82.0
Tales of Eternia,2000,4.17,78.0
Digimon World 2,2000,3.74,42.0
Gunman Chronicles,2000,4.33,65.0
Blade (2000),2000,3.64,51.0
Cleopatra,2000,4.4,77.0
Road Rash: Jailbreak,2000,4.0,78.0
Power Stone 2,2000,4.38,87.0
Batman Beyond: Return of the Joker,2000,3.43,24.0
Midnight Club: Street Racing,2000,3.14,78.0
Duke Nukem: Land of the Babes,2000,3.9,37.0
Dracula: Resurrection,2000,3.44,67.0
KISS Psycho Circus: The Nightmare Child,2000,4.38,71.0
Crimson Skies,2000,4.27,83.0
Homeworld: Cataclysm,2000,4.2,89.0
The Grinch,2000,3.93,55.0
Buzz Lightyear of Star Command,2000,3.91,55.0
Ground Control,2000,4.0,86.0
Disney's 102 Dalmatians: Puppies to the Rescue,2000,4.0,66.0
Fur Fighters,2000,3.71,64.0
Starlancer,2000,4.71,78.0
Metropolis Street Racer,2000,4.18,87.0
Star Wars Episode I: Battle for Naboo,2000,4.0,54.0
Grand Prix 3,2000,4.14,87.0
WWF No Mercy,2000,4.12,89.0
Armored Core 2,2000,3.67,78.0
18 Wheeler: American Pro Trucker,2000,3.62,56.0
Airfix Dogfighter,2000,4.33,75.0
Grand Theft Auto III,2001,4.15,93.0
Half-Life: Blue Shift,2001,3.72,71.0
Max Payne,2001,4.46,89.0
Sid Meier's Civilization III Complete,2001,3.7,90.0
Serious Sam: The First Encounter,2001,4.03,87.0
Fallout Tactics: Brotherhood of Steel,2001,3.37,82.0
Gothic,2001,4.35,81.0
Sonic Adventure 2,2001,3.95,89.0
Uplink,2001,3.32,75.0
Return to Castle Wolfenstein,2001,4.23,88.0
Commandos 2: Men of Courage,2001,4.23,87.0
Red Faction,2001,3.89,78.0
Legacy of Kain: Soul Reaver 2,2001,3.92,77.0
STAR WARS Starfighter,2001,2.89,71.0
Silent Hill 2 (2001),2001,4.39,89.0
X-COM: Enforcer,2001,2.31,65.0
Anachronox,2001,3.33,77.0
ICO,2001,4.34,90.0
Jak and Daxter: The Precursor Legacy,2001,4.01,90.0
Arcanum: Of Steamworks and Magick Obscura,2001,4.35,81.0
Hostile Waters: Antaeus Rising,2001,2.15,80.0
Metal Gear Solid 2: Sons of Liberty,2001,4.34,96.0
Louvre: The Final Curse,2001,3.05,61.0
Devil May Cry,2001,4.05,84.0
Harry Potter and the Sorcerer's Stone,2001,3.98,60.0
Desperados: Wanted Dead or Alive,2001,4.21,78.0
Halo: Combat Evolved,2001,4.32,90.0
Final Fantasy X,2001,4.38,92.0
"Runaway, A Road Adventure",2001,4.11,74.0
Phoenix Wright: Ace Attorney,2001,4.36,80.0
Etherlords,2001,3.82,77.0
Wizardry 8,2001,3.96,85.0
Ikaruga,2001,4.04,84.0
AquaNox,2001,3.17,67.0
Super Smash Bros. Melee,2001,4.36,92.0
Tom Clancy's Ghost Recon,2001,3.68,80.0
Onimusha: Warlords,2001,4.13,86.0
Alone in the Dark: The New Nightmare,2001,3.54,66.0
Luigi's Mansion,2001,4.28,78.0
Cossacks: Art of War,2001,4.15,74.0
Original War,2001,4.0,61.0
Clive Barker's Undying,2001,4.24,85.0
Ragnarok Online,2001,4.19,79.0
Command & Conquer: Red Alert 2 - Yuri's Revenge,2001,4.35,86.0
Tony Hawk's Pro Skater 3,2001,4.32,94.0
Echelon,2001,3.55,70.0
Spider-Man 2: Enter Electro,2001,4.06,74.0
Zoo Tycoon,2001,3.75,68.0
Stronghold,2001,4.34,81.0
Animal Crossing,2001,4.19,87.0
Twisted Metal: Black,2001,3.76,91.0
Golden Sun,2001,4.39,91.0
Fatal Frame,2001,4.17,77.0
Pikmin,2001,4.28,89.0
Black & White,2001,4.14,90.0
Tekken 4,2001,3.91,79.0
Oni,2001,4.08,73.0
Baldur's Gate: Dark Alliance,2001,3.88,72.0
Shenmue II,2001,4.31,88.0
Worms World Party,2001,4.27,75.0
Conker's Bad Fur Day,2001,4.21,92.0
Aliens Versus Predator 2,2001,4.32,85.0
Mario Kart: Super Circuit (2001),2001,3.8,93.0
Comanche 4,2001,3.56,74.0
Wario Land 4,2001,4.22,88.0
Castlevania: Circle of the Moon,2001,3.81,91.0
Sonic Advance,2001,4.03,85.0
Syphon Filter 3,2001,4.13,73.0
Resident Evil - Code: Veronica X,2001,3.94,72.0
SSX Tricky,2001,4.4,92.0
Sonic Adventure 2 Battle,2001,4.16,73.0
Super Mario Advance,2001,3.85,84.0
Breath of Fire (1993),2001,3.97,79.0
Zone of the Enders,2001,3.91,78.0
Looney Tunes: Sheep Raider,2001,4.34,72.0
Super Mario World: Super Mario Advance 2,2001,4.12,92.0
Burnout,2001,3.76,79.0
Shadow Hearts,2001,4.44,73.0
Rez,2001,4.38,84.0
The Simpsons Wrestling,2001,3.43,32.0
Fear Effect 2: Retro Helix,2001,4.46,84.0
Phantasy Star Online,2001,4.1,89.0
Mega Man Battle Network,2001,3.91,79.0
Crazy Taxi 2,2001,3.96,82.0
The Italian Job,2001,3.71,64.0
Deadly Dozen,2001,3.33,56.0
Battle Realms,2001,4.12,82.0
Klonoa 2: Lunatea's Veil,2001,4.44,91.0
Mega Man Battle Network 2,2001,4.25,81.0
Flower Sun and Rain: Murder and Mystery in Paradise,2001,4.43,54.0
Tactics Ogre: The Knight of Lodis,2001,3.88,88.0
Silent Hunter II,2001,3.62,71.0
Illbleed,2001,4.0,61.0
Time Crisis II,2001,4.38,81.0
Disney's Tarzan Untamed,2001,3.2,61.0
Stupid Invaders,2001,3.9,65.0
World's scariest police chases,2001,3.9,54.0
F-Zero: Maximum Velocity,2001,3.14,86.0
Fuzion Frenzy,2001,4.38,70.0
SAIYUKI: Journey West,2001,3.71,73.0
Shrek,2001,2.33,49.0
Twisted Metal: Small Brawl,2001,3.44,51.0
Zax: The Alien Hunter,2001,3.83,70.0
Mega Man 64 (2001),2001,3.38,59.0
Carnivores: Ice Age,2001,3.5,64.0
King's Field: The Ancient City,2001,4.2,60.0
WWF SmackDown! Just Bring It,2001,3.67,76.0
CT Special Forces,2001,4.17,71.0
Confidential Mission,2001,3.83,70.0
The Mummy Returns,2001,2.83,44.0
Ballistics,2001,4.67,71.0
Grand Theft Auto: Vice City,2002,4.44,94.0
Syberia,2002,3.94,82.0
Mafia: The City of Lost Heaven,2002,4.35,88.0
The Elder Scrolls III: Morrowind,2002,4.37,89.0
Hitman 2: Silent Assassin,2002,3.94,87.0
Enclave,2002,3.1,71.0
Star Wars Jedi Knight II: Jedi Outcast,2002,4.19,89.0
Serious Sam: The Second Encounter,2002,4.01,85.0
Divine Divinity,2002,3.49,81.0
Warcraft 3: Reign of Chaos,2002,4.45,92.0
Tom Clancy's Splinter Cell,2002,4.17,91.0
Dungeon Siege,2002,3.95,86.0
Arx Fatalis,2002,3.95,77.0
Red Faction II,2002,3.44,64.0
Worms Blast,2002,2.59,73.0
Resident Evil (2002),2002,4.39,88.0
RollerCoaster Tycoon 2: Triple Thrill Pack,2002,4.12,74.0
Space Channel 5: Part 2,2002,3.48,78.0
Gun Metal,2002,2.6,63.0
BloodRayne,2002,3.92,65.0
Robin Hood: The Legend of Sherwood,2002,4.08,80.0
Freedom Force,2002,3.4,90.0
Duke Nukem: Manhattan Project,2002,3.67,58.0
Harry Potter and the Chamber of Secrets,2002,4.1,74.0
Sherlock Holmes: The Mystery of the Mummy,2002,3.06,61.0
Kingdom Hearts,2002,4.4,85.0
Metal Gear Solid 2: Substance,2002,4.46,82.0
Super Mario Sunshine,2002,4.29,92.0
Gothic 2,2002,4.33,79.0
Metroid Prime,2002,4.37,97.0
Cossacks: Back to War,2002,4.3,60.0
Star Wars Bounty Hunter,2002,3.52,65.0
Need for Speed: Hot Pursuit 2,2002,3.99,81.0
Age of Wonders II: The Wizard's Throne,2002,3.63,86.0
American Conquest,2002,3.68,76.0
Earth 2150: Lost Souls,2002,2.0,78.0
KINGDOM HEARTS FINAL MIX,2002,4.31,85.0
Metroid Fusion,2002,4.37,92.0
Battlefield 1942,2002,4.14,89.0
Iron Storm,2002,2.95,69.0
Dark Fall: The Journal,2002,2.73,68.0
Medal of Honor: Frontline,2002,3.9,88.0
Medal of Honor: Allied Assault,2002,4.15,91.0
Tom Clancy's Ghost Recon: Desert Siege,2002,3.46,82.0
Spider-Man: The Movie,2002,3.58,77.0
Phoenix Wright: Ace Attorney − Justice for All,2002,4.42,76.0
Ratchet & Clank (2002),2002,4.33,88.0
Tony Hawk's Pro Skater 4,2002,4.23,91.0
Resident Evil Zero,2002,3.8,83.0
Army Men RTS,2002,3.73,67.0
Age of Mythology,2002,4.3,89.0
RC Cars,2002,3.28,65.0
No One Lives Forever 2: A Spy in H.A.R.M.'s Way,2002,4.32,91.0
Stronghold: Crusader,2002,4.35,78.0
Delta Force: Task Force Dagger,2002,3.03,51.0
Command & Conquer: Renegade,2002,3.77,75.0
James Bond 007: NightFire,2002,3.76,78.0
Sly Cooper and the Thievius Raccoonus,2002,4.13,86.0
Might and Magic 9,2002,3.24,55.0
Unreal Tournament 2003,2002,4.23,86.0
Soul Calibur II,2002,4.24,92.0
Medal of Honor Allied Assault: Spearhead,2002,3.98,74.0
Eternal Darkness: Sanity's Requiem,2002,4.34,92.0
The Thing,2002,3.76,78.0
Castlevania: Harmony of Dissonance,2002,3.94,87.0
Star Wars: Jedi Starfighter,2002,3.05,80.0
TimeSplitters 2,2002,4.3,90.0
The Elder Scrolls 3: Tribunal,2002,4.44,80.0
The Lord of the Rings: The Fellowship of the Ring,2002,3.51,59.0
Final Fantasy XI,2002,3.5,79.0
Mortal Kombat: Deadly Alliance,2002,3.3,79.0
Wild Arms 3,2002,3.63,78.0
Mario Party 4,2002,3.96,70.0
MoonBase Commander,2002,3.0,77.0
Kirby: Nightmare in Dream Land,2002,4.17,81.0
Onimusha 2: Samurai's Destiny,2002,4.26,84.0
Medieval: Total War,2002,4.4,88.0
Dragon Ball Z: Budokai,2002,3.78,67.0
Burnout 2: Point of Impact,2002,4.09,88.0
The Getaway,2002,3.45,72.0
Suikoden III,2002,4.22,86.0
Mega Man Zero,2002,3.82,82.0
Taz: Wanted,2002,4.04,62.0
Digimon World 3,2002,3.87,47.0
Aliens Versus Predator 2: Primal Hunt,2002,3.68,55.0
Shadow of Destiny,2002,4.16,74.0
Dragon Ball Z: The Legacy of Goku,2002,2.88,53.0
Dead or Alive 3,2002,3.86,87.0
Clock Tower 3,2002,3.78,69.0
Blinx: The Time Sweeper,2002,3.6,71.0
.hack//Infection Part 1,2002,3.75,75.0
Way of the Samurai,2002,3.94,74.0
Gungrave,2002,4.22,65.0
Sonic Mega Collection,2002,4.4,75.0
Shinobi (2002),2002,3.57,71.0
Disney's Treasure Planet,2002,3.38,44.0
Breath of Fire: Dragon Quarter,2002,3.6,78.0
Mega Man Battle Network 3,2002,4.44,77.0
SpongeBob SquarePants: Revenge of the Flying Dutchman,2002,3.43,71.0
Tekken Advance,2002,3.25,82.0
Tomb Raider: The Prophecy,2002,2.83,66.0
Pro Evolution Soccer 2,2002,4.23,93.0
Scooby-Doo! Night of 100 Frights,2002,3.5,69.0
Stuart Little 2 (PS1),2002,3.8,62.0
Armored Core 3,2002,3.67,74.0
Tom and Jerry in War of the Whiskers,2002,4.57,63.0
Minority Report: Everybody Runs,2002,4.17,50.0
Star Wars: Knights of the Old Republic,2003,4.36,88.0
POSTAL 2,2003,3.91,59.0
Max Payne 2: The Fall of Max Payne,2003,4.42,80.0
Day of Defeat,2003,2.83,79.0
Star Wars Jedi Knight: Jedi Academy,2003,4.33,81.0
Deus Ex 2: Invisible War,2003,3.1,80.0
EVE Online,2003,3.34,88.0
Call of Duty,2003,4.16,91.0
Prince of Persia: The Sands of Time,2003,4.22,89.0
Sonic Adventure DX: Director's Cut,2003,3.92,57.0
Beyond Good & Evil,2003,4.37,84.0
XIII,2003,3.88,72.0
Nosferatu: The Wrath of Malachi,2003,3.07,70.0
Legacy of Kain: Defiance,2003,3.93,70.0
Commandos 3: Destination Berlin,2003,3.77,72.0
Manhunt,2003,3.91,75.0
Warcraft 3: The Frozen Throne,2003,4.56,88.0
Need for Speed: Underground,2003,4.33,82.0
Crimsonland,2003,4.02,68.0
Unreal 2: The Awakening,2003,3.57,75.0
Broken Sword 3 - The Sleeping Dragon,2003,3.76,82.0
Journey to the Center of the Earth,2003,1.87,65.0
Ghost Master,2003,3.75,81.0
Midnight Club 2,2003,3.57,81.0
Post Mortem,2003,3.15,71.0
Etherlords II,2003,3.92,78.0
Jak II,2003,4.09,87.0
Silent Hill 3,2003,4.37,78.0
X2: The Threat,2003,3.3,72.0
AquaNox 2: Revelation,2003,2.73,59.0
Rayman 3: Hoodlum Havoc,2003,4.07,73.0
Black Mirror I,2003,3.93,58.0
Zuma,2003,3.86,78.0
Chaser,2003,3.25,66.0
Railroad Tycoon 3,2003,3.16,80.0
Devil May Cry 2,2003,2.46,59.0
Age of Wonders Shadow Magic,2003,3.53,82.0
Mario Kart: Double Dash,2003,4.35,87.0
Tron 2.0,2003,4.06,84.0
Judge Dredd: Dredd vs. Death,2003,3.04,55.0
Ys VI: The Ark of Napishtim,2003,4.02,74.0
The Lord of the Rings: The Return of the King,2003,4.1,82.0
Curse: The Eye of Isis,2003,3.71,63.0
Indiana Jones and the Emperor's Tomb,2003,3.85,69.0
The Suffering,2003,4.14,78.0
Castlevania: Aria of Sorrow,2003,4.38,91.0
Sonic Heroes,2003,3.89,67.0
Neighbours from Hell: Revenge Is a Sweet Game,2003,4.15,69.0
The Temple of Elemental Evil,2003,3.38,71.0
Enter the Matrix,2003,3.42,60.0
Master of Orion 3,2003,3.29,64.0
Command & Conquer: Generals - Zero Hour,2003,4.38,83.0
Impossible Creatures,2003,3.69,72.0
Praetorians,2003,4.03,78.0
Delta Force: Black Hawk Down,2003,3.6,77.0
Final Fantasy X-2,2003,3.55,85.0
Hidden & Dangerous 2: Courage Under Fire,2003,4.06,75.0
Worms 3D,2003,3.66,72.0
True Crime: Streets of LA,2003,3.74,72.0
Mario & Luigi: Superstar Saga,2003,4.36,90.0
Ratchet & Clank: Going Commando,2003,4.34,90.0
Fire Emblem: The Blazing Blade,2003,4.4,88.0
Harry Potter: Quidditch World Cup,2003,3.61,68.0
Tony Hawk's Underground,2003,4.23,90.0
Final Fantasy Tactics Advance,2003,4.32,87.0
Shin Megami Tensei III: Nocturne,2003,4.32,82.0
Armed and Dangerous,2003,3.68,78.0
Muv-Luv,2003,3.83,76.0
Lionheart: Legacy of the Crusader,2003,3.66,57.0
Teenage Mutant Ninja Turtles (2003),2003,3.98,65.0
Fatal Frame II: Crimson Butterfly,2003,4.24,84.0
I.G.I. 2: Covert Strike,2003,3.75,64.0
Lineage 2: The Chaotic Chronicle,2003,4.35,62.0
Drakengard,2003,3.39,63.0
Railroad Pioneer,2003,3.57,50.0
SpongeBob SquarePants: Battle for Bikini Bottom,2003,4.18,71.0
F-Zero GX,2003,4.42,89.0
Medal of Honor Allied Assault: Breakthrough,2003,3.76,72.0
The Hulk,2003,3.22,71.0
Primal,2003,3.43,73.0
Viewtiful Joe (2003),2003,4.23,90.0
"WarioWare, Inc.: Mega Microgame$!",2003,4.35,89.0
SSX 3,2003,4.4,93.0
The Elder Scrolls 3: Bloodmoon,2003,4.27,85.0
Nancy Drew: The Haunted Carousel,2003,3.93,85.0
Golden Sun: The Lost Age,2003,4.34,86.0
Medal of Honor: Rising Sun,2003,3.8,68.0
Mario Party 5,2003,4.05,69.0
Castlevania: Lament of Innocence,2003,3.82,79.0
Resident Evil Outbreak,2003,3.71,71.0
Vietcong,2003,3.89,74.0
X2: Wolverine's Revenge,2003,3.22,56.0
Nancy Drew: Danger on Deception Island,2003,4.11,81.0
Port Royale,2003,4.12,79.0
"Warhammer 40,000: Fire Warrior",2003,2.44,56.0
Resident Evil: Dead Aim,2003,3.09,65.0
Homeworld 2,2003,4.29,83.0
Chaos Legion,2003,4.03,51.0
Contract J.A.C.K.,2003,3.08,56.0
Dungeon Siege: Legends of Aranna,2003,3.69,73.0
Xenosaga Episode I: Der Wille zur Macht,2003,4.2,83.0
Line of Sight: Vietnam,2003,2.89,68.0
Star Trek: Elite Force II,2003,3.65,78.0
Harvest Moon: Friends of Mineral Town,2003,4.46,81.0
Arc The Lad: Twilight of the Spirits,2003,3.67,72.0
Baten Kaitos: Eternal Wings and the Lost Ocean,2003,4.5,80.0
Star Ocean: Till the End of Time,2003,3.71,76.0
Mega Man Zero 2,2003,4.0,81.0
Super Mario Advance 4: Super Mario Bros. 3,2003,3.88,94.0
Naruto: Ultimate Ninja,2003,3.71,75.0
Mario Golf: Toadstool Tour,2003,4.09,81.0
Postal 2: Share the Pain,2003,3.58,59.0
The Sims Bustin' Out,2003,3.85,81.0
Donkey Konga,2003,4.15,76.0
SimCity 4: Rush Hour,2003,4.16,79.0
Devastation: Resistance Breeds Revolution,2003,3.18,62.0
Zone of the Enders 2: The Second Runner,2003,4.5,82.0
The Legend of Zelda: Collector's Edition,2003,4.27,95.0
Mega Man X7 (2003),2003,2.0,58.0
WWE SmackDown! Here Comes the Pain,2003,4.33,85.0
Dino Crisis 3,2003,4.0,51.0
Terminator 3: War of the Machines,2003,2.31,25.0
State of Emergency,2003,3.14,68.0
Spy Hunter: Nowhere to Run,2003,2.78,51.0
EyeToy: Play,2003,3.75,80.0
Panzer Dragoon Orta,2003,4.14,90.0
Tenchu: Wrath of Heaven,2003,3.29,79.0
Sinbad: Legend of the Seven Seas,2003,3.67,58.0
Downhill Domination,2003,4.4,79.0
Looney Tunes: Back in Action,2003,3.9,58.0
Dragon Ball Z: The Legacy of Goku II,2003,4.11,75.0
Maximo vs. Army of Zin,2003,4.0,83.0
Boktai: The Sun Is in Your Hand,2003,4.33,83.0
1080° Avalanche,2003,4.25,73.0
Mega Man Battle Network 4,2003,3.22,68.0
Terminator 3: Rise of the Machines,2003,1.8,38.0
Conflict: Desert Storm 2 - Back to Baghdad,2003,3.88,69.0
Summon Night: Swordcraft Story,2003,4.0,77.0
Banjo-Kazooie: Grunty's Revenge,2003,3.29,72.0
Disaster Report,2003,4.0,66.0
Medieval: Total War - Viking Invasion,2003,3.57,84.0
The Great Escape (2003),2003,3.38,57.0
Medal of Honor: Infiltrator,2003,2.67,80.0
Scooby-Doo! Mystery Mayhem,2003,3.71,55.0
Evil Dead: A Fistful of Boomstick,2003,3.0,55.0
Half-Life 2,2004,4.48,96.0
Grand Theft Auto: San Andreas,2004,4.5,93.0
Counter-Strike: Source,2004,3.75,88.0
Counter-Strike: Condition Zero,2004,3.14,65.0
Syberia 2,2004,3.89,80.0
Star Wars: Knights of the Old Republic II – The Sith Lords,2004,4.37,85.0
DOOM 3,2004,3.9,87.0
Far Cry,2004,3.9,89.0
Vampire: The Masquerade - Bloodlines,2004,4.37,80.0
Hitman: Contracts,2004,3.93,77.0
Prince of Persia: Warrior Within,2004,4.39,83.0
Thief 3: Deadly Shadows,2004,3.76,85.0
Beyond Divinity,2004,3.2,73.0
FlatOut,2004,4.03,72.0
Sid Meier's Pirates!,2004,3.95,88.0
Need for Speed: Underground 2,2004,4.4,82.0
Space Hack,2004,1.73,63.0
Evil Genius,2004,3.78,75.0
The Bard's Tale,2004,3.51,70.0
Street Racing Syndicate,2004,3.07,62.0
Metal Gear Solid 3: Snake Eater,2004,4.36,84.0
Unreal Tournament 2004: Editor's Choice Edition,2004,4.29,93.0
Gish,2004,3.39,80.0
Neighbours from Hell Compilation,2004,3.93,69.0
World of Warcraft,2004,4.3,93.0
"Pokémon FireRed, LeafGreen",2004,4.41,81.0
"Pokémon Ruby, Sapphire, Emerald",2004,4.38,76.0
The Sims 2,2004,4.27,82.0
Star Wars: Battlefront (2004),2004,4.14,76.0
World War II: Panzer Claws,2004,1.91,61.0
ROME: Total War,2004,4.4,88.0
Call of Duty: United Offensive,2004,4.07,87.0
BloodRayne 2,2004,3.72,67.0
Halo 2,2004,4.38,84.0
Marine Sharpshooter II: Jungle Warfare,2004,1.88,52.0
Silent Storm Gold Edition,2004,4.3,83.0
Obscure,2004,3.81,63.0
Jak 3,2004,4.19,84.0
Silent Hill 4: The Room,2004,4.01,72.0
Spider-Man 2: The Game,2004,3.86,42.0
Sherlock Holmes: The Silver Earring,2004,3.21,68.0
Crusader Kings Complete,2004,2.88,73.0
Harry Potter and the Prisoner of Azkaban,2004,4.06,68.0
Tom Clancy's Splinter Cell: Pandora Tomorrow,2004,4.09,90.0
Unreal Tournament 2004,2004,4.32,93.0
Perimeter,2004,3.73,77.0
Zuma Deluxe,2004,3.91,78.0
Medal of Honor: Pacific Assault,2004,3.75,80.0
Metroid: Zero Mission,2004,4.38,89.0
Paper Mario: The Thousand-Year Door,2004,4.33,87.0
Konung 2,2004,3.65,35.0
Aura: Fate of the Ages,2004,2.68,63.0
Full Spectrum Warrior,2004,3.0,80.0
Soldiers: Heroes of World War II,2004,4.31,77.0
Knights of Honor,2004,3.91,77.0
Killzone,2004,3.6,70.0
Bejeweled 2,2004,3.36,74.0
The Chronicles of Riddick: Escape from Butcher Bay,2004,4.32,90.0
Worms Forts: Under Siege,2004,3.1,65.0
Dark Fall 2: Lights Out,2004,2.77,66.0
Shrek 2: The Game,2004,3.99,63.0
Phoenix Wright: Ace Attorney − Trials and Tribulations,2004,4.34,81.0
Nexus - The Jupiter Incident,2004,3.43,77.0
Burnout 3: Takedown,2004,4.4,94.0
Tony Hawk's Underground 2,2004,4.36,84.0
Super Mario 64 DS,2004,4.27,85.0
Port Royale 2,2004,3.87,75.0
Tekken 5,2004,4.28,88.0
Metroid Prime 2: Echoes,2004,4.41,92.0
Forgotten Realms: Demon Stone,2004,3.14,70.0
Ratchet & Clank: Up Your Arsenal,2004,4.4,91.0
Bad Mojo Redux,2004,3.5,74.0
Red Dead Revolver,2004,3.56,73.0
SIREN,2004,4.22,72.0
Second Sight,2004,4.09,75.0
Dragon Quest VIII: Journey of the Cursed King,2004,4.39,84.0
Fire Emblem: The Sacred Stones,2004,4.26,85.0
Sacred,2004,4.11,74.0
Sly 2: Band of Thieves,2004,4.4,88.0
Kingdom Hearts: Chain of Memories,2004,3.64,76.0
Onimusha 3: Demon Siege,2004,4.13,85.0
Metal Gear Solid: The Twin Snakes,2004,4.37,85.0
Gran Turismo 4,2004,4.48,89.0
Delta Force — Black Hawk Down: Team Sabre,2004,3.67,70.0
Pokémon Colosseum,2004,3.82,73.0
Katamari Damacy,2004,4.37,86.0
Battlefield Vietnam,2004,3.95,84.0
Driv3r,2004,3.15,51.0
Shadow Ops: Red Mercury,2004,3.08,61.0
Postal 2: Apocalypse Weekend,2004,3.65,45.0
Ground Control II: Operation Exodus,2004,3.83,80.0
Psi-Ops: The Mindgate Conspiracy,2004,4.05,84.0
Catwoman,2004,2.03,46.0
Mortal Kombat: Deception,2004,3.92,81.0
Call of Duty: Finest Hour,2004,3.8,76.0
Act of War: Direct Action,2004,3.88,82.0
WarioWare: Touched!,2004,4.31,81.0
The Moment of Silence,2004,3.29,70.0
Kirby & the Amazing Mirror,2004,4.22,80.0
The SpongeBob SquarePants Movie,2004,3.98,72.0
Nancy Drew: Curse of Blackmoor Manor,2004,4.2,81.0
Warlords Battlecry III,2004,4.14,73.0
Crash Twinsanity,2004,4.22,64.0
Shin Megami Tensei: Digital Devil Saga,2004,4.22,78.0
Men of Valor,2004,3.67,71.0
Scrapland,2004,4.02,72.0
Mario Power Tennis,2004,4.02,80.0
Kohan II: Kings of War,2004,3.89,81.0
Teenage Mutant Ninja Turtles 2: Battle Nexus,2004,3.96,49.0
"Codename: Panzers, Phase One",2004,3.91,81.0
Mario Party 6,2004,3.9,71.0
The Settlers: Heritage of Kings,2004,3.82,58.0
The Urbz: Sims in the City,2004,3.65,71.0
Shark Tale,2004,3.44,69.0
James Bond 007: Everything or Nothing,2004,3.88,84.0
Asterix & Obelix XXL - Kick Buttix!,2004,4.1,59.0
Resident Evil Outbreak: File 2,2004,3.8,58.0
Metal Gear Acid,2004,3.46,75.0
Zoo Tycoon 2,2004,4.12,72.0
Donkey Kong Jungle Beat,2004,4.0,80.0
Ace Combat 5: The Unsung War,2004,4.53,84.0
Wario World,2004,3.72,71.0
Grand Theft Auto Advance,2004,3.68,68.0
X-Men Legends,2004,4.16,79.0
Kuon,2004,3.67,57.0
Armies of Exigo,2004,3.97,69.0
Ninja Gaiden (2004),2004,4.36,91.0
Pitfall: The Big Adventure,2004,4.17,68.0
Nancy Drew: The Secret of Shadow Ranch,2004,3.95,68.0
Tribes: Vengeance,2004,3.38,83.0
